Taxonomy ID,Scientific name,Rank,Source
780,Rickettsia spp,Genus,HSE (UK)
785,Rickettsia typhi,Species,HSE (UK)
59203,Salmonella enterica arizonae,Species,HSE (UK)
149539,Salmonella enterica serovar enteritidis,Species,HSE (UK)
90371,Salmonella enterica serovar typhimurium,Species,HSE (UK)
54388,Salmonella enterica paratyphi A,Species,HSE (UK)
57045,Salmonella enterica paratyphi B,Species,HSE (UK)
57046,Salmonella enterica paratyphi C,Species,HSE (UK)
590,Salmonella spp,Genus,HSE (UK)
90370,Salmonella enterica typhi,Species,HSE (UK)
621,Shigella boydii,Species,HSE (UK)
622,Shigella dysenteriae,Species,HSE (UK)
622,Shigella dysenteriae,Species,HSE (UK)
623,Shigella flexneri,Species,HSE (UK)
624,Shigella sonnei,Species,HSE (UK)
1280,Staphylococcus aureus,Species,HSE (UK)
34105,Streptobacillus moniliformis,Species,HSE (UK)
1311,Streptococcus agalactiae,Species,HSE (UK)
119602,Streptococcus dysgalactiae subsp. equisimilis,Species,HSE (UK)
1313,Streptococcus pneumoniae,Species,HSE (UK)
1314,Streptococcus pyogenes,Species,HSE (UK)
1301,Streptococcus spp,Genus,HSE (UK)
1307,Streptococcus suis,Species,HSE (UK)
160,Treponema pallidum,Species,HSE (UK)
168,Treponema pertenue,Species,HSE (UK)
157,Treponema spp,Genus,HSE (UK)
1661,Trueperella pyogenes,Species,HSE (UK)
134821,Ureaplasma parvum,Species,HSE (UK)
2130,Ureaplasma urealyticum,Species,HSE (UK)
666,Vibrio cholerae,Species,HSE (UK)
670,Vibrio parahaemolyticus,Species,HSE (UK)
662,Vibrio spp,Genus,HSE (UK)
630,Yersinia enterocolitica,Species,HSE (UK)
632,Yersinia pestis,Species,HSE (UK)
633,Yersinia pseudotuberculosis,Species,HSE (UK)
629,Yersinia spp,Species,HSE (UK)
